title,title_href,mc_link,genre,certificate,votes,metascore,directors,stars,introduction,produce_year,runtime,rating
Spider-Man: No Way Home,/title/tt10872600/,https://www.metacritic.com/movie/spider-man-no-way-home?ftag=MCD-06-10aaa1c,"Action,Adventure,Fantasy",PG-13,475200,71,PG-13,148 min,"
With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",2021,148,8.7
Licorice Pizza,/title/tt11271038/,https://www.metacritic.com/movie/licorice-pizza?ftag=MCD-06-10aaa1c,"Comedy,Drama,Romance",R,39990,90,R,133 min,"
The story of Alana Kane and Gary Valentine growing up, running around and going through the treacherous navigation of first love in the San Fernando Valley, 1973.",2021,133,7.6
Dune,/title/tt1160419/,https://www.metacritic.com/movie/dune-part-one?ftag=MCD-06-10aaa1c,"Action,Adventure,Drama",PG-13,495468,74,PG-13,155 min,"
Feature adaptation of Frank Herbert's science fiction novel about the son of a noble family entrusted with the protection of the most valuable asset and most vital element in the galaxy.",2021,155,8.1
CODA,/title/tt10366460/,https://www.metacritic.com/movie/coda-2021?ftag=MCD-06-10aaa1c,"Comedy,Drama,Music",PG-13,53577,74,PG-13,111 min,"
As a CODA (Child of Deaf Adults) Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her love of music by wanting to go to Berklee College of Music and her fear of abandoning her parents.",2021,111,8.1
Kingsman: The Secret Service,/title/tt2802144/,https://www.metacritic.com/movie/kingsman-the-secret-service?ftag=MCD-06-10aaa1c,"Action,Adventure,Comedy",R,640772,,R,129 min,"
A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius.",2014,129,7.7
West Side Story,/title/tt3581652/,https://www.metacritic.com/movie/west-side-story-2020?ftag=MCD-06-10aaa1c,"Crime,Drama,Musical",PG-13,31979,85,PG-13,156 min,"
An adaptation of the 1957 musical, West Side Story explores forbidden love and the rivalry between the Jets and the Sharks, two teenage street gangs of different ethnic backgrounds.",2021,156,7.7
The Dark Knight,/title/tt0468569/,https://www.metacritic.com/movie/the-dark-knight?ftag=MCD-06-10aaa1c,"Action,Crime,Drama",PG-13,2500970,84,PG-13,152 min,"
When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",2008,152,9.0
Avengers: Endgame,/title/tt4154796/,https://www.metacritic.com/movie/avengers-endgame?ftag=MCD-06-10aaa1c,"Action,Adventure,Drama",PG-13,1017807,78,PG-13,181 min,"
After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",2019,181,8.4
Interstellar,/title/tt0816692/,https://www.metacritic.com/movie/interstellar?ftag=MCD-06-10aaa1c,"Adventure,Drama,Sci-Fi",PG-13,1695401,74,PG-13,169 min,"
A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.",2014,169,8.6
Once Upon a Time... In Hollywood,/title/tt7131622/,https://www.metacritic.com/movie/once-upon-a-time-in-hollywood?ftag=MCD-06-10aaa1c,"Comedy,Drama",R,672547,83,R,161 min,"
A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.",2019,161,7.6
The Lord of the Rings: The Fellowship of the Ring,/title/tt0120737/,https://www.metacritic.com/movie/the-lord-of-the-rings-the-fellowship-of-the-ring?ftag=MCD-06-10aaa1c,"Action,Adventure,Drama",PG-13,1779646,92,PG-13,178 min,"
A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.",2001,178,8.8
The Gentlemen,/title/tt8367814/,https://www.metacritic.com/movie/the-gentlemen?ftag=MCD-06-10aaa1c,"Action,Comedy,Crime",R,305172,,R,113 min,"
An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",2019,113,7.8
Knives Out,/title/tt8946378/,https://www.metacritic.com/movie/knives-out?ftag=MCD-06-10aaa1c,"Comedy,Crime,Drama",PG-13,574628,82,PG-13,130 min,"
A detective investigates the death of a patriarch of an eccentric, combative family.",2019,130,7.9
The Wolf of Wall Street,/title/tt0993846/,https://www.metacritic.com/movie/the-wolf-of-wall-street?ftag=MCD-06-10aaa1c,"Biography,Comedy,Crime",R,1318433,75,R,180 min,"
Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",2013,180,8.2
Harry Potter and the Sorcerer's Stone,/title/tt0241527/,https://www.metacritic.com/movie/harry-potter-and-the-sorcerers-stone?ftag=MCD-06-10aaa1c,"Adventure,Family,Fantasy",PG,742509,65,PG,152 min,"
An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",2001,152,7.6
Parasite,/title/tt6751668/,https://www.metacritic.com/movie/parasite?ftag=MCD-06-10aaa1c,"Comedy,Drama,Thriller",R,720968,96,R,132 min,"
Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.",2019,132,8.6
Get Out,/title/tt5052448/,https://www.metacritic.com/movie/get-out?ftag=MCD-06-10aaa1c,"Horror,Mystery,Thriller",R,551388,85,R,104 min,"
A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.",I 2017,104,7.7
Avengers: Infinity War,/title/tt4154756/,https://www.metacritic.com/movie/avengers-infinity-war?ftag=MCD-06-10aaa1c,"Action,Adventure,Sci-Fi",PG-13,984980,68,PG-13,149 min,"
The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.",2018,149,8.4
Joker,/title/tt7286456/,https://www.metacritic.com/movie/joker?ftag=MCD-06-10aaa1c,"Crime,Drama,Thriller",R,1149387,,R,122 min,"
In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",I 2019,122,8.4
The Notebook,/title/tt0332280/,https://www.metacritic.com/movie/the-notebook?ftag=MCD-06-10aaa1c,"Drama,Romance",PG-13,553257,,PG-13,123 min,"
A poor yet passionate young man falls in love with a rich young woman, giving her a sense of freedom, but they are soon separated because of their social differences.",2004,123,7.8
Deadpool,/title/tt1431045/,https://www.metacritic.com/movie/deadpool?ftag=MCD-06-10aaa1c,"Action,Adventure,Comedy",R,981534,65,R,108 min,"
A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",2016,108,8.0
Inception,/title/tt1375666/,https://www.metacritic.com/movie/inception?ftag=MCD-06-10aaa1c,"Action,Adventure,Sci-Fi",PG-13,2239675,74,PG-13,148 min,"
A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",2010,148,8.8
